datetime,wind_speed,wind_dir,stability
2024-01-11 22:30:00,0.418241,74.7666,A
2024-01-11 23:00:00,0.409723,71.5857,A
2024-01-11 23:30:00,0.506834,67.6193,A
2024-01-12 00:00:00,0.424559,82.7197,A
2024-01-12 00:30:00,0.450751,53.472,A
2024-01-12 01:00:00,0.339781,95.5685,F
2024-01-12 01:30:00,0.299792,56.4071,A
2024-01-12 02:00:00,0.694956,61.9749,F
2024-01-12 02:30:00,0.651418,53.3047,F
2024-01-12 03:00:00,0.430427,66.9533,F
2024-01-12 03:30:00,0.454667,37.3617,F
2024-01-12 04:00:00,0.863867,57.6322,F
2024-01-12 04:30:00,0.25578,60.0583,F
2024-01-12 05:00:00,0.723172,62.6311,F
2024-01-12 05:30:00,0.627652,50.3842,F
2024-01-12 06:00:00,0.237057,57.6879,A
2024-01-12 06:30:00,0.359776,53.3165,F
2024-01-12 07:00:00,0.605524,56.6812,F
2024-01-12 07:30:00,0.455276,70.1136,A
2024-01-12 08:00:00,0.499679,35.3496,F
2024-01-12 08:30:00,0.294633,64.5885,A
2024-01-12 09:00:00,0.431236,63.2705,A
2024-01-12 09:30:00,0.534493,48.5928,F
2024-01-12 10:00:00,0.347113,46.0998,A
2024-01-12 10:30:00,0.192401,84.6565,A
2024-01-12 11:00:00,0.280358,80.8615,F
2024-01-12 11:30:00,0.546931,52.5433,F
2024-01-12 12:00:00,0.388667,60.4498,A
2024-01-12 12:30:00,0.32235,78.4285,A
2024-01-12 13:00:00,0.46523,62.8883,F
2024-01-12 13:30:00,0.351084,91.8946,F
2024-01-12 14:00:00,0.542595,46.4303,F
2024-01-12 14:30:00,0.482681,79.7443,A
2024-01-12 15:00:00,0.731064,59.818,A
2024-01-12 15:30:00,0.657892,57.6777,A
2024-01-12 16:00:00,0.863913,66.8999,A
2024-01-12 16:30:00,0.696755,93.3996,A
2024-01-12 17:00:00,0.517936,37.6717,A
2024-01-12 17:30:00,0.194116,116.7,F
2024-01-12 18:00:00,0.282196,75.443,A
2024-01-12 18:30:00,0.358629,76.7116,A
2024-01-12 19:00:00,0.139759,192.753,A
2024-01-12 19:30:00,0.451878,65.7205,A
2024-01-12 20:00:00,0.593376,76.0583,F
2024-01-12 20:30:00,0.181141,56.9976,F
2024-01-12 21:00:00,0.67297,56.0393,F
2024-01-12 21:30:00,0.367064,100.038,A
2024-01-12 22:00:00,0.812754,55.1604,F
2024-01-12 22:30:00,0.074864,112.779,F
2024-01-12 23:00:00,0.334889,61.9248,A
2024-01-12 23:30:00,0.589039,75.5828,A
2024-01-13 00:00:00,0.136525,92.1692,F
2024-01-13 00:30:00,0.0763691,231.241,F
2024-01-13 01:00:00,0.402454,48.9148,A
2024-01-13 01:30:00,0.521173,64.3464,F
2024-01-13 02:00:00,0.105562,102.538,A
2024-01-13 02:30:00,0.260961,89.6635,A
2024-01-13 03:00:00,0.595707,66.1475,F
2024-01-13 03:30:00,0.371135,92.6527,A
2024-01-13 04:00:00,0.170686,235.64,A
2024-01-13 04:30:00,0.501058,65.3402,A
2024-01-13 05:00:00,0.205958,99.6356,F
2024-01-13 05:30:00,0.21561,69.1849,A
2024-01-13 06:00:00,0.259501,191.746,A
2024-01-13 06:30:00,0.115464,85.6567,A
2024-01-13 07:00:00,0.239078,152.059,A
2024-01-13 07:30:00,0.808972,54.6019,F
2024-01-13 08:00:00,0.441201,59.5207,A
2024-01-13 08:30:00,0.0759101,153.494,F
2024-01-13 09:00:00,0.123897,157.46,F
2024-01-13 09:30:00,0.329032,87.6132,A
2024-01-13 10:00:00,0.579392,55.3009,F
2024-01-13 10:30:00,0.594023,53.1332,F
2024-01-13 11:00:00,0.868538,56.6948,F
2024-01-13 11:30:00,0.718667,60.0605,F
2024-01-13 12:00:00,0.402692,49.6716,A
2024-01-13 12:30:00,0.0896838,85.21,A
2024-01-13 13:00:00,0.152346,141.329,F
2024-01-13 13:30:00,0.524997,81.9591,A
2024-01-13 14:00:00,0.417765,100.719,A
2024-01-13 14:30:00,0.789502,69.2853,A
2024-01-13 15:00:00,0.782143,70.0829,A
2024-01-13 15:30:00,0.4267,81.6093,A
2024-01-13 16:00:00,0.155498,19.2572,F
2024-01-13 16:30:00,0.363298,103.221,A
2024-01-13 17:00:00,0.303844,56.0666,A
2024-01-13 17:30:00,0.286072,67.2134,A
2024-01-13 18:00:00,0.663385,72.6237,F
2024-01-13 18:30:00,0.462244,57.8689,A
2024-01-13 19:00:00,0.513502,66.4241,A
2024-01-13 19:30:00,0.891875,33.7548,A
2024-01-13 20:00:00,0.140397,332.799,A
2024-01-13 20:30:00,0.57853,234.192,A
2024-01-13 21:00:00,0.075459,213.369,A
2024-01-13 21:30:00,0.74755,79.0979,A
2024-01-13 22:00:00,0.36328,58.3224,A
2024-01-13 22:30:00,0.160385,131.499,A
2024-01-13 23:00:00,0.308693,201.099,A
2024-01-13 23:30:00,0.402309,193.855,A
2024-01-14 00:00:00,0.267975,152.017,A
2024-01-14 00:30:00,0.32565,194.594,A
2024-01-14 01:00:00,0.463085,52.0064,A
2024-01-14 01:30:00,0.95851,56.6933,A
2024-01-14 02:00:00,0.592748,198.548,A
2024-01-14 02:30:00,0.545694,243.116,A
2024-01-14 03:30:00,0.410505,202.69,A
2024-01-14 04:00:00,0.148512,241.132,A
2024-01-14 05:30:00,0.418765,220.082,A
2024-01-14 06:00:00,0.244572,150.079,A
2024-01-14 06:30:00,0.490907,176.275,A
2024-01-14 07:00:00,0.765181,235.889,A
2024-01-14 07:30:00,0.531034,170.69,A
2024-01-14 08:00:00,0.100248,98.4368,A
2024-01-14 08:30:00,0.370191,66.3778,A
2024-01-14 09:00:00,0.344049,71.0854,A
2024-01-14 09:30:00,0.344077,213.455,A
2024-01-14 10:00:00,0.446059,61.241,A
2024-01-15 14:00:00,0.269374,100.149,F
2024-01-17 09:00:00,0.351926,96.2389,F
2024-01-17 09:30:00,0.739865,65.0058,F
2024-01-17 10:00:00,0.358322,116.433,F
2024-01-17 10:30:00,0.208207,158.156,A
2024-01-17 12:30:00,0.468856,74.0221,A
2024-01-17 13:00:00,0.408913,69.9576,A
2024-01-17 13:30:00,0.224548,223.831,A
2024-01-17 14:00:00,0.410768,146.365,A
2024-01-17 14:30:00,0.229668,56.0034,A
2024-01-17 15:00:00,0.238976,107.954,A
2024-01-17 15:30:00,0.268218,102.774,F
2024-01-17 16:00:00,0.113001,145.719,A
2024-01-17 16:30:00,0.217227,152.869,F
2024-01-17 17:30:00,0.348431,68.3824,F
2024-01-17 18:00:00,0.294122,104.922,A
2024-01-17 18:30:00,0.382471,60.7223,A
2024-01-17 19:00:00,0.229156,71.9224,F
2024-01-17 20:00:00,0.319067,95.1825,A
2024-01-17 20:30:00,0.377823,38.8197,F
2024-01-17 21:00:00,0.297866,77.9072,A
2024-01-17 21:30:00,0.363998,115.601,A
2024-01-17 22:00:00,0.475271,50.0873,A
2024-01-17 22:30:00,0.436705,56.5195,A
2024-01-17 23:00:00,0.881973,34.0312,F
2024-01-17 23:30:00,0.408755,21.1656,F
2024-01-18 00:00:00,0.514135,28.8267,A
2024-01-18 00:30:00,0.462294,36.2127,F
2024-01-18 01:00:00,0.0659996,317.595,A
2024-01-18 03:30:00,0.299937,56.6668,F
2024-01-18 04:00:00,0.549546,69.783,A
2024-01-18 04:30:00,0.383052,59.929,A
2024-01-18 05:00:00,0.534995,63.1537,A
2024-01-18 05:30:00,0.313014,64.93,A
2024-01-18 06:00:00,0.177747,85.5975,A
2024-01-18 06:30:00,0.242073,90.3806,F
2024-01-18 07:00:00,0.414029,61.4772,A
2024-01-18 07:30:00,0.491257,49.4138,A
2024-01-18 08:00:00,0.301473,67.5797,A
2024-01-18 08:30:00,0.174777,325.348,A
2024-01-18 09:00:00,0.237506,122.235,A
2024-01-18 09:30:00,0.257938,129.028,A
2024-01-18 10:00:00,0.118157,62.4023,A
2024-01-18 10:30:00,0.527234,66.8743,F
2024-01-18 11:00:00,0.3265,188.193,F
2024-01-18 11:30:00,0.0558082,353.659,F
2024-01-18 12:00:00,0.484079,89.6563,A
2024-01-18 12:30:00,0.265669,155.194,A
2024-01-18 13:00:00,0.109873,215.724,A
2024-01-18 13:30:00,0.303735,195.858,A
2024-01-18 14:00:00,0.206646,213.559,A
2024-01-18 14:30:00,0.27493,147.985,F
2024-01-18 15:00:00,0.220502,179.602,A
2024-01-18 15:30:00,0.182688,208.821,A
2024-01-18 16:00:00,0.277363,71.5276,F
2024-01-18 16:30:00,0.170442,107.879,A
2024-01-18 17:00:00,0.328237,79.8253,F
2024-01-18 17:30:00,0.430255,184.019,A
2024-01-18 18:00:00,0.302749,222.584,A
2024-01-18 18:30:00,0.194206,134.526,A
2024-01-18 19:00:00,0.107973,64.0842,A
